OBJECTID,Country Name,"Oral, Head, & Neck Surgeons","Oral, Head & Neck Surgeons per Capita",Information Sources,Shape__Area,Shape__Length
1,Albania,94,3.31,Professional otolaryngology/ ear nose and throat (ENT) society or association,50586702998.4902,1271947.5217103
2,Algeria,250,0.56,Professional otolaryngology/ ear nose and throat (ENT) society or association,3014489452432.14,8316048.95870093
3,Angola,45,0.14,Official government agency (e.g. Ministry of Health),1318922742647.67,6619216.36575197
4,Argentina,1500,3.31,Official government agency (e.g. Ministry of Health),4313166992304.89,17681587.2604916
5,Australia,600,2.33,Professional otolaryngology/ ear nose and throat (ENT) society or association,9652151996593.95,29969531.3348655
6,Bangladesh,600,0.36,Professional otolaryngology/ ear nose and throat (ENT) society or association,165644333365.596,4928220.31633275
7,Belize,5,1.23,Medical licensing board,24352775645.916,984375.65788607
8,Bhutan,7,0.9,Official government agency (e.g. Ministry of Health),50753541135.8223,1066290.35949492
9,Bolivia,120,1.01,Other,1194696998177.57,5984993.22506507
10,Brazil,8000,3.76,Professional otolaryngology/ ear nose and throat (ENT) society or association,9017510899339.3,28264291.387303
11,Bulgaria,250,3.61,Professional otolaryngology/ ear nose and throat (ENT) society or association,206136958832.707,2514825.86675725
12,Burundi,7,0.06,Medical licensing board,27464169522.0886,859625.017340244
13,Cabo Verde,5,0.91,Other,4387806915.09082,738936.612188091
14,Cambodia,70,0.41,Professional otolaryngology/ ear nose and throat (ENT) society or association,192219002226.927,2478640.85114771
15,Cameroon,300,1.13,Professional otolaryngology/ ear nose and throat (ENT) society or association,473330250663.425,4694706.05801332
16,Canada,750,1.97,Professional otolaryngology/ ear nose and throat (ENT) society or association,51194431825504.5,343480406.454708
17,Chad,5,0.03,Official government agency (e.g. Ministry of Health),1382453506422.79,5869715.08341774
18,Chile,600,3.14,Official government agency (e.g. Ministry of Health),1273327653006.84,44146843.6039327
19,Colombia,850,1.67,Professional otolaryngology/ ear nose and throat (ENT) society or association,1151862841556.95,7893139.83399088
20,Congo,80,1.41,Professional otolaryngology/ ear nose and throat (ENT) society or association,346983346602.893,4217367.7715033
21,Congo DRC,24,0.03,Official government agency (e.g. Ministry of Health),2361848863836.52,9323698.68051593
22,Costa Rica,110,2.16,Professional otolaryngology/ ear nose and throat (ENT) society or association,52997571727.2598,1649753.43539077
23,Côte d'Ivoire,70,0.27,Professional otolaryngology/ ear nose and throat (ENT) society or association,329444165644.579,3530217.22739762
24,Croatia,240,6.16,Professional otolaryngology/ ear nose and throat (ENT) society or association,112026500565.732,4758012.34576651
25,Cuba,628,5.54,Official government agency (e.g. Ministry of Health),127020332305.891,4336066.27510323
26,Cyprus,71,5.84,Professional otolaryngology/ ear nose and throat (ENT) society or association,13663222256.6211,712130.424762217
27,Czech Republic,825,7.71,Professional otolaryngology/ ear nose and throat (ENT) society or association,188422274809.862,2391750.7701868
28,Denmark,600,10.29,Professional otolaryngology/ ear nose and throat (ENT) society or association,136059263511.002,6527978.05871403
29,Dominican Republic,170,1.57,Professional otolaryngology/ ear nose and throat (ENT) society or association,54326114470.1318,1507100.12773192
30,Ecuador,400,2.27,Other,257333077377.285,3922338.88026684
31,Egypt,3000,2.93,Professional otolaryngology/ ear nose and throat (ENT) society or association,1255106960595.39,6287510.27331212
32,El Salvador,90,1.39,Professional otolaryngology/ ear nose and throat (ENT) society or association,21929885848.0732,815095.082894284
33,Eritrea,2,0.06,Other,130836530491.615,2856270.0269697
34,Estonia,100,7.52,Professional otolaryngology/ ear nose and throat (ENT) society or association,169454771933.662,3320000.76425853
35,Eswatini,3,0.26,Medical licensing board,21474886018.0225,597004.226505842
36,Ethiopia,63,0.05,Professional otolaryngology/ ear nose and throat (ENT) society or association,1163516352475.98,5246435.49301131
37,Fiji,1,0.11,Medical licensing board,19973089186.6914,1486885.01178021
38,Finland,350,6.33,Professional otolaryngology/ ear nose and throat (ENT) society or association,1823829463485.33,11212853.6746799
39,France,5000,7.41,Professional otolaryngology/ ear nose and throat (ENT) society or association,1162358729547.08,8568685.86383577
40,Gambia,0,0,Other,11404478631.7261,1208236.65250684
41,Georgia,200,5.39,Professional otolaryngology/ ear nose and throat (ENT) society or association,127489840375.506,2178540.96548388
42,Germany,7500,9.01,Medical licensing board,907304762832.117,7612972.10732709
43,Ghana,33,0.1,Professional otolaryngology/ ear nose and throat (ENT) society or association,245503832130.221,2575628.15038346
44,Greece,,,,216372013512.377,9900654.49786463
45,Guatemala,48,0.28,Professional otolaryngology/ ear nose and throat (ENT) society or association,118359931337.098,1897269.30108534
46,Guinea,12,0.09,Official government agency (e.g. Ministry of Health),255075364879.635,3558210.896866
47,Guyana,2,0.25,Official government agency (e.g. Ministry of Health),213694347802.977,2868420.52093041
48,Haiti,30,0.26,Professional otolaryngology/ ear nose and throat (ENT) society or association,30535891711.1807,1588233.84140936
