iso3,country,population,PAPs,PAP density,NPAPs,NPAP density,PAPs (2016),PAP density (2016),Nurses (2016),Nurse density (2016)
AFG,Afghanistan,400.99462,,,,,,,,
AGO,Angola,345.03774,,,,,,,,
ALB,Albania,28.25,210.0,7.433628318584071,,,260.0,8.974801518812566,90.0,3.106662064204349
ARE,United Arab Emirates,93.65145,,,,,,,,
ARG,Argentina,461.88,4900.0,10.608816142721054,,,4760.0,10.963447497524012,0.0,0.0
ARM,Armenia,27.90974,,,,,,,,
ATA,Antarctica,,,,,,,,,
ATF,French Southern and Antarctic Lands,,,,,,,,,
AUS,Australia,262.47,5400.0,20.57377986055549,0.0,0.0,5535.0,23.092327589803496,0.0,0.0
AUT,Austria,89.53,2650.0,29.59901708924383,130.0,1.4520272534346028,3362.0,39.34464599180807,0.0,0.0
AZE,Azerbaijan,101.3775,,,,,,,,
BDI,Burundi,126.25,4.0,0.0316831683168316,340.0,2.693069306930693,6.0,0.06,,
BEL,Belgium,116.11,2873.0,24.743777452415813,,,2217.0,19.62120541640853,0.0,0.0
BEN,Benin,127.84999999999998,26.0,0.2033633163863903,415.0,3.2459913961673843,61.0,0.5606617647058824,200.0,1.8382352941176472
BFA,Burkina Faso,221.03,57.0,0.2578835452201058,800.0,3.6194181785278015,51.0,0.2816745830111565,450.0,2.485363967745499
BGD,Bangladesh,1678.86,1939.0,1.1549503829979868,,,1279.0,0.7944296752714353,0.0,0.0
BGR,Bulgaria,68.77743,,,,,,,,
BHS,Bahamas,4.07906,,,,,,,,
BIH,Bosnia and Herzegovina,32.49,,,,,230.0,6.036745406824147,0.0,0.0
BLR,Belarus,93.58,2395.0,25.593075443470827,,,2185.0,23.009688289806235,0.0,0.0
BLZ,Belize,4.12,20.0,4.854368932038835,19.0,4.611650485436893,7.0,1.9498607242339836,22.0,6.128133704735376
BOL,Bolivia,119.93,450.0,3.7521887767864586,,,720.0,6.713286713286713,0.0,0.0
BRA,Brazil,2153.54,25484.0,11.833539195928564,,,24000.0,11.546899657441976,0.0,0.0
BRN,Brunei Darussalam,4.45,31.0,6.966292134831461,,,0.0,,,
BTN,Bhutan,7.88,13.0,1.649746192893401,30.0,3.807106598984772,7.0,0.9032258064516128,18.0,2.3225806451612905
BWA,Botswana,25.88423,,,,,,,,
CAF,Central African Republic,50.17,2.0,0.0398644608331672,3.0,0.0597966912497508,0.0,0.0,24.0,0.4897959183673469
CAN,Canada,386.68,3678.0,9.511740974449156,,,4464.0,12.420701168614356,0.0,0.0
CHE,Switzerland,87.48,2695.0,30.807041609510744,1900.0,21.71925011431184,2594.0,31.25677792505121,2500.0,30.124111338715508
CHL,Chile,192.5,2131.0,11.07012987012987,,,1180.0,6.574548696233564,0.0,0.0
CHN,China,14193.49,92726.0,6.532995056184208,28200.0,1.986826354899324,71698.0,5.121285714285714,0.0,0.0
CIV,Côte d'Ivoire,277.42,132.5,0.4776151683368178,445.0,1.6040660370557276,167.0,0.7356180072240331,304.0,1.3390890670425513
